Training on 18276 movies
18276
----------------------------- NEW MLP INIT -----------------------------
----------------------------------  batch1  -----------------------------------
-----------------------------------  -----------------------------------
-----------------------------------  -----------------------------------
Num learning steps: 3000
Learning rate: 0.05
Frequency of decreasing learning rate: 50
Glorot and Bengio Weights: true
Momentum influence: 0.0
Print status frequency: 10
Dropout OFF
Minibatch OFF
--------- WEIGHTS BEING INITIALIZED RANDOMLY ---------------
Hidden weights: 0.0736876126183612
Output weights: 0.38254602783800296
Movie : Welcome to the Captain, rating: 6.1 - predicted 6.8
Movie : BNow!, rating: 3.6 - predicted 6.8
Movie : Mirage, rating: 7.4 - predicted 7.4
Movie : The Ryan White Story, rating: 7.4 - predicted 6.8
Movie : Slapshot 2: Behind the Glass, rating: 4.2 - predicted 6.1
Movie : The Enemy, rating: 8.6 - predicted 6.8
Movie : Kalifornia, rating: 6.7 - predicted 7.1
Movie : Togetherness, rating: 7.5 - predicted 6.7
Movie : The Interrogation of Leo and Lisa, rating: 6.7 - predicted 6.8
Movie : The Virgin Suicides, rating: 7.2 - predicted 6.6
Movie : Hemingway's Adventures of a Young Man, rating: 6.5 - predicted 6.6
Movie : Cowboy Up, rating: 5.8 - predicted 6.5
Movie : That Dog, rating: 7.4 - predicted 7.4
Movie : Strength and Honor: Creating the World of 'Gladiator', rating: 7.6 - predicted 7.3
Movie : American Splendor, rating: 7.5 - predicted 7.1
Movie : Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?), rating: 7.7 - predicted 7.0
Movie : True Colors, rating: 6.3 - predicted 6.5
Movie : The Desilu Story, rating: 6.7 - predicted 7.1
